BIGRAMME;LIBELLE;FONCTION
AA;TOURELLE 76/62 SUPER RAPIDE;armes
AB;ARTILLERIE A COURTE PORTEE ET MUNITION;armes
AC;CAISSON 20MM;armes
AK;CONDUITE DE TIR;armes
AM;GESTION DU SYSTEME DE LANCEMENT DES MISSILES ASTER;armes
AS;GESTION DU SYSTEME DE LANCEMENT DES MISSILES SCALP;armes
AT;SYSTEME LANCEMENT TORPILLE;armes
AY;EWMLS;armes
BA;REVETEMENTS DE PONT AUTRES QUE PEINTURE;flotteur
BB;ELEMENTS D'EMMENAGEMENT;flotteur
BC;PROTECTION CATHODIQUE (PCCI);flotteur
BE;ELEMENTS DIVERS COQUE;flotteur
BU;SUPERSTRUCTURES;flotteur
BZ;PROTECTION DES ACCES;transmission
DL;RADAR MULTIFONCTIONS / IFF;detection
DV;SYSTEME DE DETECTION ET DE PISTAGE INFRAROUGE FREMM;detection
EA;RESEAU HAUTE TENSION 6,6 KV;energie
EB;RESEAU DE SECOURS;energie
ED;GROUPE DIESEL-ALTERNATEUR - ASPIRATIONS D'AIR ET ECHAPPEMENTS HT;energie
EE;ECLAIRAGE BORD - RESEAUX D'ECLAIRAGE SPECIAUX;energie
EF;RESEAU BT 60 HZ - DISTRIB. 440 ET 115 V.;energie
EP;INSTALLATION IMMUNISATION;flotteur
ES;FEUX NAVIGATION ;navigation
EW;RESEAU ELECTRO-DOMESTIQUE 220 V - 60 HZ;energie
GA;SYSTEME LANCE-LEURRES ANTI SOUS-MARIN;armes
GB;RADAR CONTRE-MESURES (RECM);detection
GD;SYSTEME DE SURVEILLANCE RADIO-ELECTRIQUE RADAR (RESM) AVT;detection
GL;SYSTEME LANCE LEURRES;detection
GT;INTERCEPTION, ECOUTE, BROUILLAGE DES COMMUNICATIONS (CESM);detection
HH;STOCKAGE ET MAINTENANCE DE L'HELICO;flotteur
HK;INSTALLATION CARBUREACTEUR;flotteur
HL;MANUTENTION DE L'HELICO;armes
HR;INSTALLATION HR;detection
HS;INSTALLATIONS ELECTRIQUES RELATIVES A L'APPONTAGE DES HELICOPTERES;energie
HV;LOCAUX D'EXPLOITATION AVIA;flotteur
HX;INSTALLATION MECANIQUE RELATIVE A L'APPONTAGE DES HELICOPTERES;armes
HY;INSTALLATION ENSEMBLE DES CADRES RABATTABLES;flotteur
